"CPAT Code","Year","CountryName","FuelType","ely","pow","rod","ral","avi","nav","res","foo","srv","mch","irn","nfm","mac","cem","omn","cst","ftr","oen","neu","wav"
"arm.mit.enc.bdi",2019,"Armenia","bdi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.obf",2019,"Armenia","obf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"arm.mit.enc.heat",2019,"Armenia","heat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aus.mit.enc.ele",2019,"Australia","ecy",0,0,1.8,279.8,0,0,5056.1,773.2,6138.8,2107.4,299.9,2786.7,109,289.9,362,21.4,3784.5,0,NA,NA
"aus.mit.enc.coa",2019,"Australia","coa",155545.2,36661.5,0,0,0,0,1,178.8,2,282.1,274.4,1545.2,0,460.9,250.5,0,2083.9,0,NA,NA
"aus.mit.enc.nga",2019,"Australia","nga",51886.7,12203,75.6,0,0,0,3635.7,792.3,1292,924.5,200.6,2699.1,13.3,1108,343.4,62.4,7282.5,1.5,NA,NA
"aus.mit.enc.oop",2019,"Australia","oop",977,232,0,0,0,128.8,0,61.3,11.9,82.1,7,220.9,0,44.5,62.5,9.2,-248.3,0.2,NA,NA
"aus.mit.enc.gso",2019,"Australia","gso",0,0,13642.1,1.1,0,272,0,152.9,0,0,0,0,0,0,0,1,0,0.7,NA,NA
"aus.mit.enc.die",2019,"Australia","die",3931.2,919.8,13740.5,1160.7,0,359.7,0,1995.9,665.9,2677.7,12.9,47.6,12.2,25.1,6.9,444.3,0,17,NA,NA
"aus.mit.enc.ker",2019,"Australia","ker",0,0,0,0,0,0,0,1,0.9,1,0,0,0,0,1.1,0,0,0.1,NA,NA
"aus.mit.enc.lpg",2019,"Australia","lpg",0,0,396.2,1,0,0,369.1,64.8,38,36.2,1,16.1,6.1,102.3,9.2,5.1,0,1.3,NA,NA
"aus.mit.enc.jfu",2019,"Australia","jfu",0,0,0,0,2986.9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aus.mit.enc.wnd",2019,"Australia","wnd",17653.3,1517.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aus.mit.enc.sol",2019,"Australia","sol",14561.2,1252.3,0,0,0,0,366.3,0,9.9,0,0,0,0,0,0,0,0,0,NA,NA
"aus.mit.enc.hyd",2019,"Australia","hyd",15624.7,1343.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aus.mit.enc.ore",2019,"Australia","ore",1322.6,330.1,0,0,0,0,38.3,22.9,11.2,82.4,0,0,0,4.1,1,0,0,0,NA,NA
"aus.mit.enc.nuc",2019,"Australia","nuc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aus.mit.enc.bio",2019,"Australia","bio",2170.8,738.5,127.1,0,0,0,1137.4,2184.6,4.3,11,0,45,0,69.9,175.6,0,0,0,NA,NA
"aus.mit.enc.bgs",2019,"Australia","bgs",0,0,126.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aus.mit.enc.bdi",2019,"Australia","bdi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aus.mit.enc.obf",2019,"Australia","obf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aus.mit.enc.heat",2019,"Australia","heat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aut.mit.enc.ele",2019,"Austria","ecy",0,0,1,171.1,0,0,1574.6,442.5,1080.5,559.3,217.4,91.8,387,207.1,562,47.8,790.2,0,NA,NA
"aut.mit.enc.coa",2019,"Austria","coa",3606.2,790.1,0,0,0,0,19.1,3.1,0,5.1,251.2,3,0,57.6,66.4,0,1580.1,0,NA,NA
"aut.mit.enc.nga",2019,"Austria","nga",11171.8,2137.4,17.9,0,0,0,1409.5,367.4,357.8,605.9,417.6,120.3,186.2,356.5,636.5,30.6,693.2,0,NA,NA
"aut.mit.enc.oop",2019,"Austria","oop",690.6,206.2,13.1,0,0,0,0,1.7,0.7,3.7,0.1,0,3.4,28.3,1.4,2.5,33.9,0,NA,NA
"aut.mit.enc.gso",2019,"Austria","gso",0,0,1647.2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aut.mit.enc.die",2019,"Austria","die",2.7,2.7,6273.6,32,0,1.1,912.8,221.1,181,9.6,1,0,8.2,5.1,1.9,197.3,0,0,NA,NA
"aut.mit.enc.ker",2019,"Austria","ker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aut.mit.enc.lpg",2019,"Austria","lpg",0,0,5.3,0,0,0,29.9,7.1,7.9,2.9,0,2,12.1,1.1,1,4,0,0,NA,NA
"aut.mit.enc.jfu",2019,"Austria","jfu",0,0,0,0,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aut.mit.enc.wnd",2019,"Austria","wnd",7334.1,630.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aut.mit.enc.sol",2019,"Austria","sol",1695.7,145.5,0.1,0,0,0,101.7,0.9,55.8,0,0,0,0,0,0,0,2.7,0,NA,NA
"aut.mit.enc.hyd",2019,"Austria","hyd",40166.4,3454.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aut.mit.enc.ore",2019,"Austria","ore",1747.9,618.1,0.1,0,0,0,16,16.5,19.5,83.6,1,0,0.1,194.3,22.5,0,104.5,0,NA,NA
"aut.mit.enc.nuc",2019,"Austria","nuc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aut.mit.enc.bio",2019,"Austria","bio",3788.6,944.1,476.7,2,0,0,1677.3,418.4,85,53.4,0,0.1,7.2,25.3,756,16.2,621.1,0,NA,NA
"aut.mit.enc.bgs",2019,"Austria","bgs",0,0,57.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aut.mit.enc.bdi",2019,"Austria","bdi",0,0,421.4,1.8,0,0,0,10.8,0.9,0,0,0,0,0,0,9.9,0,0,NA,NA
"aut.mit.enc.obf",2019,"Austria","obf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aut.mit.enc.heat",2019,"Austria","heat",11.7,0,0,0,0,0,694.8,103.5,621,59.4,6.3,1.8,31.5,0.9,28.8,4.5,-416.7,0,NA,NA
"aze.mit.enc.ele",2019,"Azerbaijan","ecy",0,0,0,27.9,0,0,555.7,164.1,539.2,50.9,30.7,75.8,17.8,41.6,33.4,56.4,462.6,0,NA,NA
"aze.mit.enc.coa",2019,"Azerbaijan","coa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.nga",2019,"Azerbaijan","nga",24015.8,4993.9,0,0,0,0,2705,281.5,522.9,282.5,23.8,2,14.4,224.4,22.4,34.1,1853.8,0,NA,NA
"aze.mit.enc.oop",2019,"Azerbaijan","oop",4.8,1.3,0,0,0,0,0,11.1,5.5,2,0,2.8,0.2,2.7,0,33.1,77.8,0,NA,NA
"aze.mit.enc.gso",2019,"Azerbaijan","gso",0,0,1407.1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.die",2019,"Azerbaijan","die",47.7,12.6,984.3,7.8,0.2,32.3,8,313.2,7.3,8.3,0,0,0.1,0,1.9,71.9,0,0,NA,NA
"aze.mit.enc.ker",2019,"Azerbaijan","ker",0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.lpg",2019,"Azerbaijan","lpg",0,0,20,0,0,0,3.3,0,0.1,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.jfu",2019,"Azerbaijan","jfu",0,0,0,0,317.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.wnd",2019,"Azerbaijan","wnd",106.3,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.sol",2019,"Azerbaijan","sol",47.1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.hyd",2019,"Azerbaijan","hyd",1584.8,136.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.ore",2019,"Azerbaijan","ore",192.4,67.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.nuc",2019,"Azerbaijan","nuc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.bio",2019,"Azerbaijan","bio",0,0,0,0,0,0,11,5.5,25,0,0,0,0,0,0.1,0.1,0,0,NA,NA
"aze.mit.enc.bgs",2019,"Azerbaijan","bgs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.bdi",2019,"Azerbaijan","bdi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.obf",2019,"Azerbaijan","obf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"aze.mit.enc.heat",2019,"Azerbaijan","heat",0,0,0,0,0,0,108.9,0,20.7,153.9,0,0,0,0,0,0,-117,0,NA,NA
"bhs.mit.enc.ele",2019,"Bahamas, The","ecy",0,0,0,0,0,0,57.66145732,0,94.83820302,0,0,0,0,0,0,0,0,0,NA,NA
"bhs.mit.enc.coa",2019,"Bahamas, The","coa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"bhs.mit.enc.nga",2019,"Bahamas, The","nga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"bhs.mit.enc.oop",2019,"Bahamas, The","oop",1892.682832,795.3233433,1.28e-05,0,0,0,8e-07,0,0,0,0,0,0,0,0,0,220.5031751,100.1906506,NA,NA
"bhs.mit.enc.gso",2019,"Bahamas, The","gso",0,0,279.3347591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"bhs.mit.enc.die",2019,"Bahamas, The","die",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"bhs.mit.enc.ker",2019,"Bahamas, The","ker",0,0,0,0,0,0,4.41187283,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"bhs.mit.enc.lpg",2019,"Bahamas, The","lpg",0,0,0,0,0,0,20.02158566,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"bhs.mit.enc.jfu",2019,"Bahamas, The","jfu",0,0,0,0,99.79990062,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
